data,code,embeddings,question type,methodology,term,map,mrr
wikiQA,pairwise,GloVe,who,original,who,0.7138,0.7084
wikiQA,pairwise,GloVe,when,original,when,0.6183,0.6157
wikiQA,pairwise,GloVe,where,original,where,0.6027,0.6126
wikiQA,pairwise,GloVe,who,2,william,0.7074,0.7017
wikiQA,pairwise,GloVe,when,2,1923,0.6679,0.6641
wikiQA,pairwise,GloVe,where,2,florida,0.6083,0.6156
wikiQA,pairwise,GloVe,who,1,david,0.7069,0.7013
wikiQA,pairwise,GloVe,when,1,1975,0.593,0.5893
wikiQA,pairwise,GloVe,where,1,jamaica,0.5928,0.6001
trecQA,pairwise,GloVe,who,original,who,0.7071,0.775
trecQA,pairwise,GloVe,when,original,when,0.805,0.8947
trecQA,pairwise,GloVe,where,original,where,0.8692,0.8939
trecQA,pairwise,GloVe,who,2,stenn,0.7086,0.7812
trecQA,pairwise,GloVe,when,2,1947-1956,0.8382,0.9211
trecQA,pairwise,GloVe,where,2,fussen,0.8659,0.8636
wikiQA,pairwise,dependency,who,original,who,0.7105,0.7196
wikiQA,pairwise,dependency,when,original,when,0.5844,0.5911
wikiQA,pairwise,dependency,where,original,where,0.6172,0.6172
wikiQA,pairwise,dependency,who,2,sumner,0.7627,0.7706
wikiQA,pairwise,dependency,when,2,1147,0.6356,0.6387
wikiQA,pairwise,dependency,where,2,schaumburg,0.7027,0.7027
wikiQA,pairwise,dependency,who,1,feldstein,now-running,now-running
wikiQA,pairwise,dependency,when,1,first-quarter,now-running,now-running
wikiQA,pairwise,dependency,where,1,neartown,now-running,now-running
trecQA,pairwise,dependency,who,original,who,0.4633,0.5115
trecQA,pairwise,dependency,when,original,when,0.8194,0.9211
trecQA,pairwise,dependency,where,original,where,0.8303,0.8485
trecQA,pairwise,dependency,who,2,logsdon,0.4433,0.5129
trecQA,pairwise,dependency,when,2,2010,0.7793,0.8684
trecQA,pairwise,dependency,where,2,russia,0.7835,0.8030
wikiQA,pairwise,dependency,all,original,-(who/when/where) in test,now-running,now-running
wikiQA,pairwise,GloVe,all,original,-(who/when/where) in test,now-running,now-running
trecQA,pairwise,dependency,all,original,-(who/when/where) in test,now-running,now-running
trecQA,pairwise,GloVe,all,original,-(who/when/where) in test,now-running,now-running
